Real,Previsto
404700.0,267351.6029645315
399000.0,365093.23529411765
300000.0,398676.9759450172
165000.0,200936.93244246475
349000.0,365093.23529411765
625000.0,365093.23529411765
267500.0,291475.01516683516
615000.0,497401.9864364982
300000.0,733778.9817444219
570000.0,511658.53658536583
625000.0,511658.53658536583
400000.0,516944.9917877448
700000.0,454090.62152777775
225000.0,511658.53658536583
878000.0,1181733.8366197185
275000.0,311228.07042253524
339990.0,286147.98560700874
380000.0,286147.98560700874
200000.0,398676.9759450172
1100000.0,921057.9831932773
298000.0,291475.01516683516
225000.0,267351.6029645315
730000.0,575612.015625
175000.0,267351.6029645315
209000.0,208327.08396946566
335000.0,291475.01516683516
150000.0,200936.93244246475
40000.0,365093.23529411765
275000.0,398676.9759450172
1330000.0,1408402.7777777778
480000.0,497401.9864364982
79500.0,286147.98560700874
183900.0,267351.6029645315
245000.0,398676.9759450172
2100000.0,1649191.9960000003
324000.0,516944.9917877448
198500.0,342982.94088669954
195000.0,286147.98560700874
700000.0,412938.3522727273
195000.0,286147.98560700874
215000.0,267351.6029645315
389280.0,286147.98560700874
225000.0,200936.93244246475
595000.0,516944.9917877448
388800.0,286147.98560700874
45000.0,200936.93244246475
490000.0,733778.9817444219
285000.0,200936.93244246475
128000.0,327328.94736842107
258000.0,516944.9917877448
613000.0,562735.2483221476
600000.0,938076.5765765766
885000.0,795787.4549549549
305000.0,286147.98560700874
50000.0,516944.9917877448
65000.0,200936.93244246475
220000.0,342982.94088669954
1650000.0,2021860.6333333333
298000.0,286147.98560700874
173250.0,267351.6029645315
1150000.0,785353.2034632035
180000.0,438061.125
481950.0,286147.98560700874
430000.0,738258.6346153846
299500.0,200936.93244246475
1299000.0,523130.54054054053
50000.0,200936.93244246475
1150000.0,995000.0
85000.0,200936.93244246475
439000.0,286147.98560700874
375000.0,798450.7593880389
490000.0,365093.23529411765
390000.0,267351.6029645315
294000.0,342982.94088669954
295900.0,267351.6029645315
420000.0,733778.9817444219
195000.0,286147.98560700874
475120.0,286147.98560700874
490000.0,403101.6424242424
380000.0,511658.53658536583
538125.0,497401.9864364982
320000.0,610345.205479452
275000.0,342982.94088669954
180000.0,570352.2276785715
480000.0,357118.4210526316
281000.0,497401.9864364982
246200.0,342982.94088669954
530000.0,365093.23529411765
180000.0,342982.94088669954
85000.0,200936.93244246475
915000.0,738258.6346153846
240000.0,358226.3082706767
235000.0,200936.93244246475
2600000.0,2430432.5064935065
650000.0,403803.02116402116
650000.0,610345.205479452
85000.0,200936.93244246475
485000.0,342982.94088669954
329900.0,357118.4210526316
289900.0,357118.4210526316
130000.0,286147.98560700874
210000.0,200936.93244246475
179900.0,286147.98560700874
350000.0,286147.98560700874
199600.0,301593.97575757577
911744.0,291475.01516683516
1310000.0,795787.4549549549
267000.0,1100893.119266055
780000.0,291475.01516683516
55000.0,200936.93244246475
240000.0,267351.6029645315
591300.0,497401.9864364982
120000.0,365093.23529411765
348654.0,342982.94088669954
2490000.0,1100893.119266055
485000.0,365093.23529411765
2490000.0,1100893.119266055
159000.0,200936.93244246475
