Index;Type; Price ;Area;Location;Property
13304;T2;225 000,00 €;87;Porto;Apartments
13305;T3;275 000,00 €;72.75;Lisboa;Apartments
13306;T3;370 000,00 €;109.80;Aveiro;Apartments
13307;T3;795 000,00 €;130;Lisboa;Apartments
13308;T3;255 000,00 €;96;Lisboa;Apartments
13309;T3;304 500,00 €;136.70;Faro;Apartments
1331;T2;199 000,00 €;45;Lisboa;Apartments
13310;T3;300 000,00 €;135.75;Faro;Apartments
13312;T3;217 500,00 €;156;Set??bal;Apartments
13313;T3;179 900,00 €;125;Braga;Apartments
13314;T3;445 000,00 €;113;Lisboa;Apartments
13315;T3;135 000,00 €;104;Santar?©m;Apartments
13317;T3;509 000,00 €;91;Lisboa;Apartments
13318;T2;325 000,00 €;92;Porto;Apartments
13319;T1;255 000,00 €;63.75;Porto;Apartments
1332;T2;410 000,00 €;103.94;Porto;Apartments
13320;T2;295 000,00 €;81;Porto;Apartments
13321;T4;2 100 000,00 €;251.01;Porto;Apartments
13322;T2;227 500,00 €;48;Porto;Apartments
13323;T4;2 250 000,00 €;400;Porto;Apartments
13324;T2;165 000,00 €;65.02;Set??bal;Apartments
13325;T3;169 000,00 €;110;Coimbra;Apartments
13326;T4;555 000,00 €;159;Porto;Apartments
13327;T5;349 900,00 €;145;Set??bal;Apartments
13328;T2;130 000,00 €;78.80;Set??bal;Apartments
13329;T4;550 000,00 €;223;Set??bal;Apartments
1333;T3;480 000,00 €;158;Porto;Apartments
13330;T3;252 500,00 €;124;Porto;Apartments
13331;T3;400 000,00 €;145;Porto;Apartments
13332;T4;780 000,00 €;209;Porto;Apartments
13333;T3;370 000,00 €;109.80;Aveiro;Apartments
13334;T0;175 000,00 €;28;Porto;Apartments
13335;T3;585 000,00 €;147.50;Aveiro;Apartments
13336;T1;125 500,00 €;40;Porto;Apartments
13337;T2;170 000,00 €;55;Lisboa;Apartments
13338;T4;2 100 000,00 €;311;Lisboa;Apartments
13339;T0;205 000,00 €;39;Faro;Apartments
1334;T4;260 000,00 €;104;Faro;Apartments
13340;T2;289 900,00 €;86;Porto;Apartments
13341;T4;357 500,00 €;124;Set??bal;Apartments
13342;T3;315 000,00 €;125;Set??bal;Apartments
13343;T2;237 000,00 €;86;Set??bal;Apartments
13344;T1;212 000,00 €;77;Set??bal;Apartments
13345;T1;255 000,00 €;79;Coimbra;Apartments
13346;T1;205 000,00 €;50;Coimbra;Apartments
13347;T4;950 000,00 €;175;Aveiro;Apartments
13348;T3;1 395 000,00 €;162;Lisboa;Apartments
13349;T2;115 000,00 €;69.75;Set??bal;Apartments
1335;T1;180 000,00 €;45;Porto;Apartments
13350;T0;299 900,00 €;63;Lisboa;Apartments
13351;T4;339 500,00 €;192;Lisboa;Apartments
13352;T2;250 000,00 €;76.20;Porto;Apartments
13353;T2;179 900,00 €;88.30;Aveiro;Apartments
13354;T3;119 500,00 €;110;Santar?©m;Apartments
13355;T3;490 000,00 €;151;Porto;Apartments
13356;T3;330 000,00 €;137;Porto;Apartments
13357;T2;310 000,00 €;78.30;Porto;Apartments
13358;T2;480 000,00 €;105;Porto;Apartments
13359;T2;205 000,00 €;84;Porto;Apartments
1336;T3;249 000,00 €;100;Faro;Apartments
13360;T1;149 500,00 €;39;Leiria;Apartments
13361;T2;499 000,00 €;122;Porto;Apartments
13362;T3;299 900,00 €;160;Braga;Apartments
13363;T2;260 000,00 €;114.90;Porto;Apartments
13364;T2;388 000,00 €;107.87;Set??bal;Apartments
13365;T2;245 000,00 €;76;Porto;Apartments
13366;T3;162 000,00 €;90;Porto;Apartments
13367;T2;545 000,00 €;97.58;Porto;Apartments
13368;T2;245 000,00 €;76;Porto;Apartments
13369;T4;674 000,00 €;150;Porto;Apartments
1337;T0;310 000,00 €;40;Lisboa;Apartments
13370;T1;240 000,00 €;90;Porto;Apartments
13371;T3;1 250 000,00 €;182;Porto;Apartments
13372;T3;650 000,00 €;128;Porto;Apartments
13374;T3;400 000,00 €;123.27;Porto;Apartments
13375;T2;175 000,00 €;74;Porto;Apartments
13376;T2;139 000,00 €;78;Porto;Apartments
13377;T4;540 000,00 €;129.50;Lisboa;Apartments
13379;T4;350 000,00 €;223;Apartamento para comprar: Viseu;Apartments
1338;T1;575 000,00 €;78;Lisboa;Apartments
13380;T2;212 000,00 €;104;Braga;Apartments
13381;T6;498 000,00 €;184;Lisboa;Apartments
13383;T2;265 000,00 €;99;Porto;Apartments
13384;T3;619 000,00 €;147;Porto;Apartments
13385;T1;185 000,00 €;55;Faro;Apartments
13386;T2;490 000,00 €;137.50;Set??bal;Apartments
13387;T3;750 000,00 €;154;Set??bal;Apartments
13388;T2;450 000,00 €;99.40;Faro;Apartments
13389;T3;456 000,00 €;128.05;Porto;Apartments
13390;T3;515 000,00 €;114;Set??bal;Apartments
13391;T2;350 000,00 €;91;Aveiro;Apartments
13392;T1;315 000,00 €;77.10;Set??bal;Apartments
13393;T3;2 500 000,00 €;186.18;Lisboa;Apartments
13395;T2;405 000,00 €;107.80;Lisboa;Apartments
13396;T2;358 000,00 €;88;Set??bal;Apartments
13397;T2;320 000,00 €;99.59;Lisboa;Apartments
13398;T2;341 000,00 €;94.11;Porto;Apartments
13399;T3;1 690 000,00 €;287.80;Lisboa;Apartments
134;T2;365 000,00 €;99.22;Faro;Apartments
1340;T1;248 000,00 €;45.07;Porto;Apartments
13400;T3;575 000,00 €;129.05;Faro;Apartments
13401;T3;230 000,00 €;118;Viseu;Apartments
13402;T3;595 000,00 €;132;Porto;Apartments
13403;T2;269 000,00 €;71;Lisboa;Apartments
13404;T2;340 000,00 €;144;Leiria;Apartments
13405;T2;362 500,00 €;98.92;Set??bal;Apartments
13406;T2;225 000,00 €;66.10;Lisboa;Apartments
13407;T2;220 000,00 €;75;Aveiro;Apartments
13408;T3;630 000,00 €;148.40;Aveiro;Apartments
13409;T3;590 000,00 €;128;Lisboa;Apartments
1341;T1;175 500,00 €;54;Leiria;Apartments
13410;T3;249 000,00 €;118;Porto;Apartments
13411;T3;650 000,00 €;123.82;Lisboa;Apartments
13412;T2;318 000,00 €;92.01;Porto;Apartments
13413;T3;535 000,00 €;132.70;Lisboa;Apartments
13414;T2;400 000,00 €;107.80;Lisboa;Apartments
13415;T3;395 000,00 €;105.28;Lisboa;Apartments
13416;T4;442 000,00 €;162.05;Faro;Apartments
13417;T2;295 000,00 €;84.09;Lisboa;Apartments
13418;T3;447 000,00 €;128.05;Porto;Apartments
13419;T4;780 000,00 €;253.69;Lisboa;Apartments
1342;T2;195 000,00 €;70;Lisboa;Apartments
13420;T4;270 000,00 €;114.10;Porto;Apartments
13421;T3;289 000,00 €;180;Porto;Apartments
13422;T3;245 000,00 €;126;Set??bal;Apartments
13423;T1;270 000,00 €;63;Faro;Apartments
13424;T4;480 000,00 €;183;Aveiro;Apartments
13425;T3;336 000,00 €;150;Aveiro;Apartments
13426;T4;445 000,00 €;220;Lisboa;Apartments
13428;T3;148 000,00 €;186;Coimbra;Apartments
13429;T4;229 000,00 €;102;Porto;Apartments
1343;T1;248 000,00 €;54.70;Porto;Apartments
13430;T3;750 000,00 €;166.55;Faro;Apartments
13431;T3;380 000,00 €;116;Set??bal;Apartments
13432;T3;185 000,00 €;87;Lisboa;Apartments
13433;T1;185 000,00 €;49;Porto;Apartments
13435;T3;878 000,00 €;187.47;Lisboa;Apartments
13436;T4;890 000,00 €;163.40;Porto;Apartments
13437;T3;175 000,00 €;120;Bragan?ßa;Apartments
13438;T2;299 000,00 €;45;Lisboa;Apartments
13439;T3;590 000,00 €;120;Lisboa;Apartments
1344;T2;263 000,00 €;85;Porto;Apartments
13440;T3;370 000,00 €;112.89;Set??bal;Apartments
13441;T2;575 000,00 €;102;Lisboa;Apartments
13442;T3;190 000,00 €;89.82;Set??bal;Apartments
13443;T3;530 000,00 €;115.90;Porto;Apartments
13444;T3;445 000,00 €;130;Lisboa;Apartments
13445;T2;900 000,00 €;141;Lisboa;Apartments
13446;T2;213 000,00 €;84;Lisboa;Apartments
13447;T2;480 000,00 €;113;Ilha da Madeira;Apartments
13448;T2;465 000,00 €;117;Ilha da Madeira;Apartments
13449;T2;505 000,00 €;113;Ilha da Madeira;Apartments
1345;T1;119 900,00 €;56;Set??bal;Apartments
13450;T2;440 000,00 €;117;Ilha da Madeira;Apartments
13451;T2;199 900,00 €;106;Porto;Apartments
13452;T2;455 000,00 €;117;Ilha da Madeira;Apartments
13453;T2;205 000,00 €;65.10;Porto;Apartments
13455;T2;235 000,00 €;102;Lisboa;Apartments
13456;T2; Pre?ßosobconsulta ;90;Porto;Apartments
13457;T2;780 000,00 €;93.93;Lisboa;Apartments
13458;T1;399 000,00 €;44.24;Lisboa;Apartments
13459;T3;399 900,00 €;67;Lisboa;Apartments
1346;T1;235 000,00 €;52;Porto;Apartments
13460;T2;495 000,00 €;108;Ilha da Madeira;Apartments
13461;T2;250 000,00 €;70;Porto;Apartments
13462;T3;185 000,00 €;100;Porto;Apartments
13463;T3;215 000,00 €;134.40;Porto;Apartments
13464;T3;199 900,00 €;105;Braga;Apartments
13465;T3;235 000,00 €;83;Faro;Apartments
13466;T3;285 000,00 €;113;Porto;Apartments
13467;T1;273 252,00 €;81;Faro;Apartments
13468;T1;411 180,00 €;137;Faro;Apartments
13469;T1;409 206,00 €;132;Faro;Apartments
1347;T1;259 000,00 €;60.71;Porto;Apartments
13470;T1;394 632,00 €;128;Faro;Apartments
13471;T1;398 706,00 €;132;Faro;Apartments
13472;T1;386 232,00 €;128;Faro;Apartments
13473;T1;394 548,00 €;132;Faro;Apartments
13474;T1;383 460,00 €;128;Faro;Apartments
13475;T3;195 000,00 €;85;Porto;Apartments
13476;T3;310 000,00 €;119;Set??bal;Apartments
13477;T3;299 900,00 €;111;Porto;Apartments
13478;T2;425 041,00 €;85;Porto;Apartments
13479;T3;662 356,00 €;130;Porto;Apartments
1348;T1;236 000,00 €;43.75;Porto;Apartments
13480;T2;408 512,00 €;90;Porto;Apartments
13481;T2;410 000,00 €;83;Lisboa;Apartments
13482;T4;899 000,00 €;167;Lisboa;Apartments
13483;T2;315 000,00 €;107;Ilha da Madeira;Apartments
13484;T2;750 000,00 €;108;Porto;Apartments
13485;T2;275 000,00 €;100;Porto;Apartments
13486;T3;230 000,00 €;63;Lisboa;Apartments
13487;T2;440 000,00 €;109;Porto;Apartments
13488;T3;539 000,00 €;127;Lisboa;Apartments
13489;T3;340 000,00 €;106.80;Porto;Apartments
1349;T4;780 000,00 €;183.45;Porto;Apartments
13490;T3;220 000,00 €;113.06;Braga;Apartments
13491;T0;260 000,00 €;105;Braga;Apartments
13492;T2;240 000,00 €;135;Braga;Apartments
13493;T3;235 000,00 €;125.13;Braga;Apartments
13494;T1;205 000,00 €;66;Porto;Apartments
13495;T2;228 000,00 €;101;Porto;Apartments
13496;T2;198 000,00 €;84;Porto;Apartments
13497;T3;159 000,00 €;87;Lisboa;Apartments
13498;T1;495 000,00 €;47;Lisboa;Apartments
13499;T5;425 000,00 €;171;Set??bal;Apartments
135;T1;260 000,00 €;61;Faro;Apartments
1350;T3;445 000,00 €;134;Lisboa;Apartments
13500;T3;390 000,00 €;85;Set??bal;Apartments
13501;T4;850 000,00 €;117;Lisboa;Apartments
13502;T3;350 000,00 €;101;Porto;Apartments
13503;T3;389 000,00 €;101;Porto;Apartments
13504;T2;305 000,00 €;82;Porto;Apartments
13505;T3;475 125,00 €;127;Porto;Apartments
13506;T3;382 000,00 €;101;Porto;Apartments
13507;T2;285 000,00 €;81;Porto;Apartments
13508;T3;355 000,00 €;101;Porto;Apartments
13509;T3;376 000,00 €;101;Porto;Apartments
1351;T2;160 000,00 €;65;Lisboa;Apartments
13510;T3;464 625,00 €;127;Porto;Apartments
13511;T3;467 250,00 €;127;Porto;Apartments
13512;T3;456 750,00 €;127;Porto;Apartments
13513;T3;456 750,00 €;127;Porto;Apartments
13514;T2;318 000,00 €;83;Porto;Apartments
13515;T2;320 000,00 €;82;Porto;Apartments
13516;T2;299 000,00 €;82;Porto;Apartments
13517;T2;313 000,00 €;83;Porto;Apartments
13518;T2;295 000,00 €;80;Porto;Apartments
13519;T2;305 000,00 €;80;Porto;Apartments
1352;T3;195 000,00 €;95;Set??bal;Apartments
13520;T2;297 000,00 €;82;Porto;Apartments
13521;T2;325 000,00 €;83;Porto;Apartments
13522;T2;305 000,00 €;83;Porto;Apartments
13523;T2;310 000,00 €;82;Porto;Apartments
13524;T2;298 000,00 €;83;Porto;Apartments
13525;T2;315 000,00 €;83;Porto;Apartments
13526;T3;703 000,00 €;136;Ilha da Madeira;Apartments
13527;T3;650 000,00 €;173;Ilha da Madeira;Apartments
13528;T3;655 000,00 €;173;Ilha da Madeira;Apartments
13529;T4;1 100 000,00 €;181;Ilha da Madeira;Apartments
1353;T3;298 000,00 €;80;Lisboa;Apartments
13530;T3;635 000,00 €;151;Ilha da Madeira;Apartments
13531;T3;640 000,00 €;133;Ilha da Madeira;Apartments
13532;T4;1 400 000,00 €;343;Ilha da Madeira;Apartments
13533;T2;260 000,00 €;89;Ilha da Madeira;Apartments
13534;T2;485 000,00 €;141;Ilha da Madeira;Apartments
13535;T2;980 000,00 €;213;Ilha da Madeira;Apartments
13536;T2;256 000,00 €;96;Ilha da Madeira;Apartments
13537;T2;258 000,00 €;88;Ilha da Madeira;Apartments
13538;T2;260 000,00 €;96;Ilha da Madeira;Apartments
13539;T2;258 000,00 €;96;Ilha da Madeira;Apartments
1354;T3;245 000,00 €;103;Set??bal;Apartments
13540;T2;256 000,00 €;88;Ilha da Madeira;Apartments
13541;T2;256 000,00 €;92;Ilha da Madeira;Apartments
13542;T2;257 000,00 €;95;Ilha da Madeira;Apartments
13543;T2;258 000,00 €;92;Ilha da Madeira;Apartments
13544;T2;258 000,00 €;95;Ilha da Madeira;Apartments
13545;T2;257 000,00 €;87;Ilha da Madeira;Apartments
13546;T2;257 000,00 €;92;Ilha da Madeira;Apartments
13547;T4;815 000,00 €;128.83;Lisboa;Apartments
13548;T2;290 000,00 €;109;Porto;Apartments
13549;T2;297 500,00 €;64.23;Lisboa;Apartments
1355;T1;399 000,00 €;52;Lisboa;Apartments
13550;T2; Pre?ßosobconsulta ;63;Set??bal;Apartments
13552;T1;210 000,00 €;66;Leiria;Apartments
13553;T2;377 000,00 €;67;Lisboa;Apartments
13554;T3;420 000,00 €;173;Porto;Apartments
13555;T2;320 000,00 €;75;Porto;Apartments
13556;T1;415 000,00 €;66.15;Lisboa;Apartments
13557;T1;445 000,00 €;68.25;Lisboa;Apartments
13558;T1;120 000,00 €;53;Coimbra;Apartments
13559;T1;195 000,00 €;44;Porto;Apartments
1356;T3;450 000,00 €;133;Aveiro;Apartments
13560;T1;690 000,00 €;92;Lisboa;Apartments
13561;T2;460 000,00 €;101;Ilha da Madeira;Apartments
13562;T1;390 000,00 €;63;Ilha da Madeira;Apartments
13563;T1;205 000,00 €;44;Porto;Apartments
13564;T3;240 000,00 €;85;Lisboa;Apartments
13565;T2;147 000,00 €;105;Lisboa;Apartments
13566;T2;360 000,00 €;110;Ilha da Madeira;Apartments
13567;T3;698 000,00 €;117;Lisboa;Apartments
13568;T2;150 000,00 €;65;Set??bal;Apartments
13569;T3;395 000,00 €;96;Porto;Apartments
1357;T2;169 900,00 €;74;Set??bal;Apartments
13570;T2;310 000,00 €;87;Aveiro;Apartments
13571;T3;470 000,00 €;138;Aveiro;Apartments
13572;T3;338 000,00 €;75;Lisboa;Apartments
13573;T3;989 000,00 €;132;Lisboa;Apartments
13574;T6;675 000,00 €;260;Porto;Apartments
13575;T3;330 000,00 €;167;Viana do Castelo;Apartments
13576;T2;123 000,00 €;76;Braga;Apartments
13577;T3;448 000,00 €;132;Porto;Apartments
13578;T0;247 500,00 €;51;Porto;Apartments
13579;T0;230 000,00 €;49;Porto;Apartments
1358;T2;600 000,00 €;92;Lisboa;Apartments
13580;T1;149 000,00 €;35;Braga;Apartments
13581;T5;570 000,00 €;182;Porto;Apartments
13582;T0;175 000,00 €;330;Porto;Apartments
13583;T3;279 900,00 €;99;Set??bal;Apartments
13584;T2;225 000,00 €;100;Porto;Apartments
13585;T3;299 000,00 €;90;Porto;Apartments
13586;T3;269 000,00 €;75;Porto;Apartments
13587;T2;217 000,00 €;64;Porto;Apartments
13588;T2;895 000,00 €;145;Faro;Apartments
13589;T2;197 500,00 €;73.60;Set??bal;Apartments
1359;T2;250 000,00 €;73;Set??bal;Apartments
13590;T2;230 000,00 €;74.11;Castelo Branco;Apartments
13591;T2;300 000,00 €;83;Aveiro;Apartments
13592;T2;230 000,00 €;74.11;Castelo Branco;Apartments
13593;T2;300 000,00 €;83;Aveiro;Apartments
13594;T2;305 000,00 €;83;Aveiro;Apartments
13595;T2;365 000,00 €;93;Aveiro;Apartments
13596;T2;315 000,00 €;83;Aveiro;Apartments
13597;T3;365 000,00 €;103;Aveiro;Apartments
13598;T3;380 000,00 €;103;Aveiro;Apartments
13599;T2;320 000,00 €;87;Aveiro;Apartments
136;T4;1 415 000,00 €;218;Faro;Apartments
1360;T2;225 000,00 €;75;Porto;Apartments
13600;T3;375 000,00 €;103;Aveiro;Apartments
13601;T3;315 000,00 €;140;Set??bal;Apartments
13602;T2;425 000,00 €;79;Porto;Apartments
13603;T2;375 000,00 €;82.80;Lisboa;Apartments
13605;T4;1 095 000,00 €;215;Porto;Apartments
13607;T4;525 000,00 €;255;Castelo Branco;Apartments
13608;T2;285 000,00 €;57;Lisboa;Apartments
13609;T2;340 000,00 €;110;Ilha da Madeira;Apartments
1361;T3;270 000,00 €;126;Porto;Apartments
13610;T3;410 000,00 €;140;Ilha da Madeira;Apartments
13611;T2;155 000,00 €;95;Braga;Apartments
13612;T4;259 000,00 €;115;Porto;Apartments
13613;T2;85 000,00 €;67;Bragan?ßa;Apartments
13614;T3;85 000,00 €;94;Bragan?ßa;Apartments
13615;T2;440 000,00 €;128;Ilha da Madeira;Apartments
13616;T2;290 000,00 €;128;Porto;Apartments
13617;T4;4 300 000,00 €;274.10;Lisboa;Apartments
13619;T4;550 000,00 €;115;Lisboa;Apartments
1362;T2;157 500,00 €;57;Lisboa;Apartments
13620;T0;150 000,00 €;35.40;Porto;Apartments
13621;T1;270 000,00 €;65;Lisboa;Apartments
13622;T0;230 000,00 €;48;Porto;Apartments
13623;T3;595 000,00 €;40;Lisboa;Apartments
13624;T1;130 000,00 €;40;Set??bal;Apartments
13625;T2;179 000,00 €;67;Set??bal;Apartments
13626;T2;340 000,00 €;112;Set??bal;Apartments
13628;T2;240 000,00 €;39;Lisboa;Apartments
13629;T1;165 000,00 €;70;Porto;Apartments
1363;T4;980 000,00 €;236;Lisboa;Apartments
13630;T2;140 000,00 €;83;Santar?©m;Apartments
13631;T0;175 000,00 €;26.60;Ilha da Madeira;Apartments
13632;T1;360 000,00 €;64.90;Ilha da Madeira;Apartments
13633;T3;1 200 000,00 €;162;Lisboa;Apartments
13634;T3;230 000,00 €;59;Lisboa;Apartments
13635;T1;670 000,00 €;149.70;Lisboa;Apartments
13636;T0;425 000,00 €;80.83;Lisboa;Apartments
13637;T3;640 000,00 €;155;Porto;Apartments
13638;T2;372 000,00 €;74;Porto;Apartments
13639;T1;287 000,00 €;50;Porto;Apartments
1364;T3;229 800,00 €;109;Lisboa;Apartments
13640;T2;372 000,00 €;74;Porto;Apartments
13641;T1;287 000,00 €;50;Porto;Apartments
13643;T4;735 000,00 €;125;Lisboa;Apartments
13644;T2;290 000,00 €;97;Porto;Apartments
13645;T1;185 500,00 €;50.63;Braga;Apartments
13646;T1;185 500,00 €;50.63;Braga;Apartments
13647;T2;189 800,00 €;65;Lisboa;Apartments
13648;T2;265 000,00 €;81;Set??bal;Apartments
13649;T2;130 000,00 €;85;Aveiro;Apartments
1365;T2;799 000,00 €;158;Lisboa;Apartments
13650;T1;430 000,00 €;66.15;Lisboa;Apartments
13651;T1;398 000,00 €;66.15;Lisboa;Apartments
13652;T2;590 000,00 €;128.10;Lisboa;Apartments
13653;T2;170 000,00 €;61;Lisboa;Apartments
13654;T3;170 000,00 €;81.14;Set??bal;Apartments
13655;T2;415 000,00 €;108;Ilha da Madeira;Apartments
13656;T3;335 000,00 €;133;Porto;Apartments
13657;T3;189 000,00 €;110;Set??bal;Apartments
13658;T2;325 000,00 €;99;Lisboa;Apartments
13659;T1;290 000,00 €;68;Porto;Apartments
1366;T3;430 000,00 €;121;Set??bal;Apartments
13660;T0;230 000,00 €;41;Porto;Apartments
13661;T2;175 000,00 €;106;Porto;Apartments
13662;T3;160 000,00 €;90;Braga;Apartments
13663;T2;375 000,00 €;112;Lisboa;Apartments
13664;T2;230 000,00 €;114;Santar?©m;Apartments
13665;T2;299 500,00 €;107.70;Porto;Apartments
13666;T3;190 000,00 €;126;Viana do Castelo;Apartments
13667;T2;215 000,00 €;107;Santar?©m;Apartments
13668;T2;225 000,00 €;114;Santar?©m;Apartments
13669;T1;299 000,00 €;100;Porto;Apartments
1367;T2;279 800,00 €;132;Lisboa;Apartments
13670;T2;215 000,00 €;108;Santar?©m;Apartments
13671;T2;230 000,00 €;106;Santar?©m;Apartments
13672;T3;280 000,00 €;142;Santar?©m;Apartments
13673;T2;200 000,00 €;94;Santar?©m;Apartments
13674;T2;695 000,00 €;101.69;Ilha da Madeira;Apartments
13675;T2;190 000,00 €;72;Viana do Castelo;Apartments
13676;T3;299 000,00 €;72;Lisboa;Apartments
13677;T1;325 000,00 €;61.32;Ilha da Madeira;Apartments
13678;T3;485 000,00 €;108;Lisboa;Apartments
13679;T1;206 000,00 €;55.48;Braga;Apartments
1368;T3;190 000,00 €;86;Set??bal;Apartments
13680;T4;220 000,00 €;100.85;Set??bal;Apartments
13681;T2;219 000,00 €;68;Lisboa;Apartments
13682;T2;230 000,00 €;10;Porto;Apartments
13683;T1;739 000,00 €;88.82;Lisboa;Apartments
13684;T2;875 000,00 €;102.90;Lisboa;Apartments
13685;T1;575 000,00 €;66.04;Lisboa;Apartments
13686;T2;663 000,00 €;98.74;Lisboa;Apartments
13687;T1;573 500,00 €;78.46;Lisboa;Apartments
13688;T1;670 000,00 €;68.21;Lisboa;Apartments
13689;T1;561 000,00 €;66.04;Lisboa;Apartments
1369;T2;159 300,00 €;81.40;Set??bal;Apartments
13690;T1;721 000,00 €;88.52;Lisboa;Apartments
13691;T1;608 000,00 €;66.87;Lisboa;Apartments
13692;T1;626 500,00 €;67.32;Lisboa;Apartments
13693;T1;589 500,00 €;66.04;Lisboa;Apartments
13694;T1;654 000,00 €;68.21;Lisboa;Apartments
13695;T1;757 000,00 €;88.52;Lisboa;Apartments
13696;T2;918 000,00 €;102.90;Lisboa;Apartments
13697;T2;896 500,00 €;102.90;Lisboa;Apartments
13698;T1;330 000,00 €;46;Lisboa;Apartments
13699;T1;158 000,00 €;94;Lisboa;Apartments
137;T2;325 000,00 €;105.64;Viana do Castelo;Apartments
1370;T2;248 000,00 €;73;Coimbra;Apartments
13701;T1;195 000,00 €;52.60;Set??bal;Apartments
13702;T2;217 000,00 €;102;Porto;Apartments
13703;T3;429 000,00 €;134;Lisboa;Apartments
13704;T3;124 000,00 €;102;Santar?©m;Apartments
13705;T3;435 000,00 €;194.10;Braga;Apartments
13707;T3;194 000,00 €;121.50;Braga;Apartments
13708;T3;149 900,00 €;129;Leiria;Apartments
13709;T3;175 000,00 €;90;Faro;Apartments
1371;T3;357 000,00 €;114.80;Porto;Apartments
13710;T2;360 000,00 €;118;Faro;Apartments
13711;T2;225 000,00 €;94;Ilha da Madeira;Apartments
13712;T2;215 000,00 €;52;Lisboa;Apartments
13713;T2;285 000,00 €;104.42;Porto;Apartments
13714;T2;450 000,00 €;85;Lisboa;Apartments
13715;T0;299 900,00 €;63;Lisboa;Apartments
13716;T3;350 000,00 €;146;Porto;Apartments
13717;T2;175 000,00 €;91;Lisboa;Apartments
13718;T3;149 000,00 €;47.80;Lisboa;Apartments
13719;T1;295 900,00 €;55;Lisboa;Apartments
1372;T3;625 000,00 €;146.70;Aveiro;Apartments
13720;T2;187 500,00 €;61;Set??bal;Apartments
13721;T2;280 000,00 €;81;Leiria;Apartments
13722;T2;319 000,00 €;90;Faro;Apartments
13723;T3;209 000,00 €;91;Set??bal;Apartments
13724;T3;299 000,00 €;158;Faro;Apartments
13725;T2;265 000,00 €;105;Set??bal;Apartments
13726;T3;265 000,00 €;114;Faro;Apartments
1373;T2;285 900,00 €;82.80;Porto;Apartments
13734;T3;310 000,00 €;123;Lisboa;Apartments
13735;T3;799 000,00 €;275;Lisboa;Apartments
13736;T2;190 000,00 €;60;Lisboa;Apartments
13737;T3;459 000,00 €;136;Porto;Apartments
13738;T2;135 000,00 €;84;Aveiro;Apartments
13739;T2;865 000,00 €;140;Lisboa;Apartments
1374;T3;260 000,00 €;127;Porto;Apartments
13740;T3;179 000,00 €;150;Aveiro;Apartments
13741;T2;595 000,00 €;86;Porto;Apartments
13742;T3;215 000,00 €;107;Porto;Apartments
13743;T3;205 000,00 €;113;Coimbra;Apartments
13744;T3;159 000,00 €;111;Aveiro;Apartments
13745;T1;988 200,00 €;204.66;Lisboa;Apartments
13746;T1;776 050,00 €;97.58;Lisboa;Apartments
13747;T1;765 070,00 €;98.58;Lisboa;Apartments
13748;T1;737 620,00 €;105.51;Lisboa;Apartments
13749;T2;1 043 100,00 €;144.20;Lisboa;Apartments
1375;T2;315 000,00 €;95.50;Porto;Apartments
13750;T2;1 152 900,00 €;144.41;Lisboa;Apartments
13751;T3;300 000,00 €;68;Porto;Apartments
13752;T3;550 000,00 €;130;Lisboa;Apartments
13753;T2;375 500,00 €;120;Porto;Apartments
13754;T0;142 000,00 €;39;Porto;Apartments
13755;T2;224 000,00 €;94;Braga;Apartments
13756;T2;219 000,00 €;125;Braga;Apartments
13757;T1;209 000,00 €;78;Braga;Apartments
13759;T2;695 000,00 €;110;Lisboa;Apartments
1376;T0;210 000,00 €;41;Porto;Apartments
13760;T2;85 000,00 €;69;?âvora;Apartments
13761;T3;2 500 000,00 €;162;Lisboa;Apartments
13762;T2;334 000,00 €;112;Faro;Apartments
13763;T2;267 000,00 €;166;Lisboa;Apartments
13764;T1;230 000,00 €;57;Faro;Apartments
13766;T3;198 000,00 €;103;Set??bal;Apartments
13767;T3;170 000,00 €;115;Braga;Apartments
1377;T2;362 500,00 €;92.60;Aveiro;Apartments
13770;T1;410 000,00 €;70;Lisboa;Apartments
13771;T4;820 000,00 €;245;Porto;Apartments
13773;T3;2 400 000,00 €;143;Faro;Apartments
13774;T2;187 500,00 €;49;Set??bal;Apartments
13775;T3;425 000,00 €;115;Set??bal;Apartments
13776;T3;290 000,00 €;93;Lisboa;Apartments
13777;T1;245 000,00 €;47.80;Faro;Apartments
13778;T3;550 000,00 €;99;Lisboa;Apartments
1378;T1;325 000,00 €;55;Porto;Apartments
13780;T3;190 000,00 €;126;Viana do Castelo;Apartments
13781;T2;190 000,00 €;72;Viana do Castelo;Apartments
13782;T1;173 000,00 €;60.92;Faro;Apartments
13783;T1;230 000,00 €;65;Porto;Apartments
13784;T1;235 000,00 €;65;Porto;Apartments
13785;T4;535 000,00 €;208;Porto;Apartments
13786;T2;197 500,00 €;93.96;Lisboa;Apartments
13787;T2;540 000,00 €;73.99;Lisboa;Apartments
13788;T2;215 000,00 €;73;Lisboa;Apartments
13789;T1;155 000,00 €;41;Faro;Apartments
1379;T2;200 000,00 €;86;Set??bal;Apartments
13790;T1;135 000,00 €;47;Lisboa;Apartments
13791;T2;670 000,00 €;86;Porto;Apartments
13792;T3;555 000,00 €;105;Lisboa;Apartments
13793;T2;299 000,00 €;100;Faro;Apartments
13794;T3;535 000,00 €;180;Lisboa;Apartments
13795;T2;265 375,00 €;93;Faro;Apartments
13796;T1;225 000,00 €;52;Faro;Apartments
