Index;Type; Price ;Area;Location;Property
1011;T2;210 000,00 €;100;Braga;Apartments
10110;T3;294 000,00 €;128;Braga;Apartments
10111;T3;450 000,00 €;136;Porto;Apartments
10112;T4;1 650 000,00 €;258;Porto;Apartments
10113;T3;915 000,00 €;158;Porto;Apartments
10114;T4;910 000,00 €;182.70;Porto;Apartments
10116;T2;220 000,00 €;69;Faro;Apartments
10117;T2;514 000,00 €;97;Porto;Apartments
10119;T4;685 000,00 €;164;Lisboa;Apartments
1012;T3;850 000,00 €;150;Faro;Apartments
10120;T3;495 000,00 €;169;Porto;Apartments
10121;T3;364 000,00 €;136.75;Faro;Apartments
10122;T2;260 000,00 €;79.17;Faro;Apartments
10123;T4;1 050 000,00 €;184;Porto;Apartments
10126;T3;789 000,00 €;104;Lisboa;Apartments
10127;T4;532 000,00 €;160;Porto;Apartments
10128;T1;197 000,00 €;46;Braga;Apartments
10129;T3;470 000,00 €;178;Faro;Apartments
1013;T2;208 900,00 €;60;Lisboa;Apartments
10130;T3;370 000,00 €;139;Lisboa;Apartments
10131;T3;545 000,00 €;107;Porto;Apartments
10132;T3;337 000,00 €;106;Porto;Apartments
10133;T3;1 114 500,00 €;135;Lisboa;Apartments
10134;T2;272 000,00 €;92.50;Porto;Apartments
10135;T1;420 000,00 €;69.50;Lisboa;Apartments
10136;T4;1 150 000,00 €;195;Ilha da Madeira;Apartments
10137;T2;650 000,00 €;122;Ilha da Madeira;Apartments
10138;T2;305 000,00 €;102;Porto;Apartments
10139;T2;277 900,00 €;81;Porto;Apartments
1014;T2;850 000,00 €;114;Faro;Apartments
10140;T2;168 500,00 €;86.60;Aveiro;Apartments
10141;T1;214 900,00 €;70;Porto;Apartments
10142;T2;540 000,00 €;100.97;Porto;Apartments
10143;T3;495 000,00 €;125.10;Porto;Apartments
10144;T2;442 500,00 €;93.33;Porto;Apartments
10145;T2;259 000,00 €;88.69;Faro;Apartments
10146;T2;257 000,00 €;93;Porto;Apartments
10147;T2;450 000,00 €;111;Faro;Apartments
10148;T2;227 500,00 €;87.85;Castelo Branco;Apartments
10149;T4;790 000,00 €;120;Lisboa;Apartments
1015;T2;240 000,00 €;70;Faro;Apartments
10150;T3;250 500,00 €;142;Castelo Branco;Apartments
10151;T2;190 000,00 €;98;Porto;Apartments
10152;T2;297 900,00 €;88.50;Porto;Apartments
10153;T2;190 000,00 €;98;Porto;Apartments
10154;T2;297 900,00 €;88.50;Porto;Apartments
10156;T4;1 550 000,00 €;200;Lisboa;Apartments
10157;T3;2 500 000,00 €;251.16;Lisboa;Apartments
10158;T2;1 200 000,00 €;133.61;Lisboa;Apartments
10159;T3;2 500 000,00 €;228.90;Lisboa;Apartments
1016;T2;320 000,00 €;108.67;Porto;Apartments
10160;T0;215 000,00 €;40;Faro;Apartments
10161;T0;180 000,00 €;33;Porto;Apartments
10162;T2;235 000,00 €;83.43;Braga;Apartments
10163;T2;260 000,00 €;79.70;Faro;Apartments
10165;T3;370 000,00 €;155;Set??bal;Apartments
10166;T1;145 000,00 €;47;Faro;Apartments
10167;T3;149 500,00 €;120;Porto;Apartments
10168;T2;240 000,00 €;100;Porto;Apartments
10169;T2;189 500,00 €;80;Set??bal;Apartments
1017;T3;180 000,00 €;83;Porto;Apartments
10170;T5;1 980 000,00 €;350;Lisboa;Apartments
10171;T3;450 000,00 €;132;Set??bal;Apartments
10172;T1;315 000,00 €;60;Porto;Apartments
10173;T4;328 000,00 €;177.50;Santar?©m;Apartments
10174;T2;225 000,00 €;84;Castelo Branco;Apartments
10175;T1;230 000,00 €;86.40;Faro;Apartments
10176;T0;160 000,00 €;35;Porto;Apartments
10177;T1;220 000,00 €;56;Porto;Apartments
10178;T0;160 000,00 €;38;Porto;Apartments
10179;T3;345 000,00 €;151.29;Faro;Apartments
1018;T3;330 000,00 €;135;Porto;Apartments
10180;T3;195 000,00 €;107;Faro;Apartments
10181;T2;740 000,00 €;109.30;Lisboa;Apartments
10182;T1;490 000,00 €;68.50;Lisboa;Apartments
10183;T1;540 000,00 €;81.40;Lisboa;Apartments
10184;T2;730 000,00 €;121.10;Lisboa;Apartments
10185;T3;415 000,00 €;105;Lisboa;Apartments
10186;T1;230 000,00 €;42;Faro;Apartments
10187;T2;165 000,00 €;98;Braga;Apartments
10188;T1;530 000,00 €;79.90;Lisboa;Apartments
10189;T1;460 000,00 €;52.90;Lisboa;Apartments
10190;T1;500 000,00 €;63.02;Lisboa;Apartments
10191;T1;470 000,00 €;58.60;Lisboa;Apartments
10192;T1;510 000,00 €;73.30;Lisboa;Apartments
10193;T1;530 000,00 €;73.30;Lisboa;Apartments
10194;T1;550 000,00 €;62.02;Lisboa;Apartments
10195;T2;700 000,00 €;117.30;Lisboa;Apartments
10196;T2;720 000,00 €;130.70;Lisboa;Apartments
10197;T2;700 000,00 €;109;Lisboa;Apartments
10198;T2;740 000,00 €;120.30;Lisboa;Apartments
10199;T2;750 000,00 €;114.90;Lisboa;Apartments
102;T0;329 000,00 €;85.75;Aveiro;Apartments
1020;T3;406 095,00 €;139.11;Porto;Apartments
10200;T2;710 000,00 €;97.70;Lisboa;Apartments
10201;T2;760 000,00 €;114.20;Lisboa;Apartments
10202;T1;535 000,00 €;85;Lisboa;Apartments
10203;T2;760 000,00 €;123.40;Lisboa;Apartments
10204;T2;110 000,00 €;92;Beja;Apartments
10206;T1;520 000,00 €;87;Lisboa;Apartments
10207;T1;500 000,00 €;68.90;Lisboa;Apartments
10208;T1;480 000,00 €;63.40;Lisboa;Apartments
10209;T3;1 100 000,00 €;146.30;Lisboa;Apartments
1021;T2;420 000,00 €;89;Porto;Apartments
10210;T1;510 000,00 €;80.90;Lisboa;Apartments
10211;T1;440 000,00 €;52.40;Lisboa;Apartments
10212;T1;470 000,00 €;69.10;Lisboa;Apartments
10213;T1;510 000,00 €;80.90;Lisboa;Apartments
10214;T1;490 000,00 €;75.10;Lisboa;Apartments
10215;T1;550 000,00 €;68.90;Lisboa;Apartments
10216;T4;1 769 000,00 €;213.75;Lisboa;Apartments
10217;T1;141 000,00 €;33;Braga;Apartments
10218;T3;440 000,00 €;132.50;Lisboa;Apartments
10219;T3;435 000,00 €;132.50;Lisboa;Apartments
1022;T1;800 000,00 €;77;Lisboa;Apartments
10220;T3;410 000,00 €;132.50;Lisboa;Apartments
10221;T3;425 000,00 €;132.50;Lisboa;Apartments
10222;T3;515 000,00 €;132.50;Lisboa;Apartments
10223;T4;520 000,00 €;168.20;Set??bal;Apartments
10224;T2;225 000,00 €;100;Lisboa;Apartments
10225;T3;469 000,00 €;194;Faro;Apartments
10226;T1;250 000,00 €;85.05;Braga;Apartments
10227;T1;378 000,00 €;69;Porto;Apartments
10228;T2;581 000,00 €;109;Porto;Apartments
10229;T3;884 000,00 €;154;Porto;Apartments
1023;T4;302 000,00 €;98;Lisboa;Apartments
10230;T2;586 000,00 €;109;Porto;Apartments
10231;T4;485 000,00 €;213;Porto;Apartments
10232;T4;935 000,00 €;200;Lisboa;Apartments
10233;T3;650 000,00 €;125.83;Porto;Apartments
10234;T3;195 624,00 €;105;Porto;Apartments
10235;T3;310 000,00 €;183;Braga;Apartments
10236;T2;441 000,00 €;109;Porto;Apartments
10237;T3;836 000,00 €;154;Porto;Apartments
10238;T1;446 000,00 €;91;Porto;Apartments
10239;T2;195 500,00 €;70;Porto;Apartments
1024;T3;177 000,00 €;80;Set??bal;Apartments
10240;T2;280 000,00 €;106;Braga;Apartments
10241;T1;230 000,00 €;48.41;Porto;Apartments
10242;T2;637 000,00 €;115;Porto;Apartments
10243;T2;272 500,00 €;104;Braga;Apartments
10244;T4;535 000,00 €;208.80;Porto;Apartments
10245;T3;750 000,00 €;127.14;Porto;Apartments
10246;T2;565 000,00 €;79;Lisboa;Apartments
10247;T3;485 000,00 €;96.73;Porto;Apartments
10248;T3;465 000,00 €;96.73;Porto;Apartments
10249;T3;920 000,00 €;122;Set??bal;Apartments
1025;T2;210 000,00 €;100;Braga;Apartments
10250;T3;470 000,00 €;160;Porto;Apartments
